CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1001401,DONUT PALACE,110 AUSTIANA HILLS DR,NAVASOTA,TX,77868-3302,USA,,,,,,,,,
1001404,COLLECTIONS PLAZA PA,39 FRANKLIN AVE,NUTLEY,NJ,07110-3224,USA,,,,,,,,,
1001405,COLLECTIONS PRINCESA,58 PULASKI ST,NEWARK,NJ,07105-2612,USA,,,,,,,,,
1001406,NEW YORK BAKERY,550 W SPRING ST,FRACKVILLE,PA,17931-1138,USA,,,,,,,,,
1001407,EL HORNITO BAKERY IN,13580 STATE HIGHWAY 249,HOUSTON,TX,77086-3132,USA,,,,,,,,,
1001408,SUNRISE DONUTS,1003 6TH AVE SE,ABERDEEN,SD,57401-4700,USA,,,,,,,,,
1001409,DIPPIN DONUTS,418 HIGHWAY 90 W,SEALY,TX,77474-3964,USA,,,,,,,,,
1001411,TOWN & COUNTRY BAKER,732 ATLANTIC CITY BLVD,BEACHWOOD,NJ,08722-4095,USA,,,,,,,,,
1001414,GUADALAJARA BAKERY,4003 WASHINGTON AVE,HOUSTON,TX,77007-5605,USA,,,,,,,,,
1001415,LA CENTRO AMERICANA,3303 W COMMERCE ST,SAN ANTONIO,TX,78207-3606,USA,,,,,,,,,
1001417,COLLECTIONS HAJI BAB,6845 W ELLSWORTH AVE,LAKEWOOD,CO,80226-2062,USA,,,,,,,,,
1001419,LONG JOHN DONUTS,60 E CROSSTIMBERS ST,HOUSTON,TX,77022-6217,USA,,,,,,,,,
1001421,BAGEL CHATEAU- WESTF,223 SOUTH AVE E,WESTFIELD,NJ,07090-1456,USA,,,,,,,,,
1001422,PAGE'S STORM LAKE,616 LAKE AVE,STORM LAKE,IA,50588-1852,USA,,,,,,,,,
1001423,WILLOW VALLEY BAKERY,100 WILLOW VALLEY LAKES DR,WILLOW STREET,PA,17584-9456,USA,,,,,,,,,
1001424,DESIGNER BAGELS EAST,692 OAK TREE AVE,SOUTH PLAINFIELD,NJ,07080-5122,USA,,,,,,,,,
1001426,S&S DONUTS,9599 JONES RD,HOUSTON,TX,77065-4800,USA,,,,,,,,,
1001428,SOUTHERN MAID - HWY,6311 HIGHWAY 6,MISSOURI CITY,TX,77459-4059,USA,,,,,,,,,
1001429,PILGRIM KITCHEN PIES,311 EL CAMINO REAL,BELMONT,CA,94002-2019,USA,,,,,,,,,
1001430,DAVISS DONUTS & DELI,1706 HIGHWAY 365,NEDERLAND,TX,77627-5501,USA,,,,,,,,,
1001431,BOSA DONUTS,852 DIVISION ST,GENEVA,IL,60134-3433,USA,,,,,,,,,
1001435,WINCHELLS DONUTS,6550 E EVANS AVE,DENVER,CO,80224-2324,USA,,,,,,,,,
1001436,O'HENRY'S DONUTS,500 VINEYARD TOWN CTR,MORGAN HILL,CA,95037-5630,USA,,,,,,,,,
1001438,GUADALAJARA BAKERY,4014 W ARMITAGE AVE,CHICAGO,IL,60639-3739,USA,,,,,,,,,
1001439,SWISS ALPS BAKERY,6607 MENAUL BLVD NE,ALBUQUERQUE,NM,87110-3405,USA,,,,,,,,,
1001441,COLLECTIONS LA FAMA,1751 W CHICAGO AVE,CHICAGO,IL,60622-5009,USA,,,,,,,,,
1001442,LA RANCHERITA,3811 MAIN ST,EAST CHICAGO,IN,46312-2316,USA,,,,,,,,,
1001443,ARTEMIOS BAKERY,1443 N MILWAUKEE AVE,CHICAGO,IL,60622-2015,USA,,,,,,,,,
1001444,LEE DONUT,124 PETERSON RD,LIBERTYVILLE,IL,60048-1004,USA,,,,,,,,,
1001445,NEW DELUXE BAKERY,10731 RIDGELAND AVE,CHICAGO RIDGE,IL,60415-2153,USA,,,,,,,,,
1001446,PASTAFRESH,3418 N HARLEM AVE,CHICAGO,IL,60634-3605,USA,,,,,,,,,
1001447,DOUGHNUT FACTORY,11916 S STRANG LINE RD,OLATHE,KS,66062-5267,USA,,,,,,,,,
1001449,COLLECTIONS TLC BAKE,3700 OSUNA RD NE,ALBUQUERQUE,NM,87109-4461,USA,,,,,,,,,
1001450,DONUT PALACE - PIONE,625 PIONEER RD,MESQUITE,TX,75149-5286,USA,,,,,,,,,
1001451,DONUT PALACE - SHILO,3611 14TH ST,PLANO,TX,75074-7161,USA,,,,,,,,,
1001452,GOLDEN STAR DONUT,7632 CAMPBELL RD,DALLAS,TX,75248-1727,USA,,,,,,,,,
1001453,COLLECTIONS YOUNG DO,19049 MARSH LN,DALLAS,TX,75287-2168,USA,,,,,,,,,
1001454,DONUT FIELD,1910 W EL CAMINO REAL,MOUNTAIN VIEW,CA,94040-2009,USA,,,,,,,,,
1001455,DONUT GALORE,3818 PECK RD,EL MONTE,CA,91732-2260,USA,,,,,,,,,
1001456,LORRAINE BAKERY,110 W BURBANK BLVD,BURBANK,CA,91502-1609,USA,,,,,,,,,
1001457,LIN'S BAKERY CAFE,123 N LINCOLN AVE,MONTEREY PARK,CA,91755-1710,USA,,,,,,,,,
1001458,COLLECTIONS ANITA'S,739 N MOUNT VERNON AVE,SAN BERNARDINO,CA,92411-3323,USA,,,,,,,,,
1001460,PALACE BAKERY,2708 N BROADWAY,LOS ANGELES,CA,90031-2610,USA,,,,,,,,,
1001461,COLLECTIONS UNITED B,727 S FLOWER ST,BURBANK,CA,91502-2014,USA,,,,,,,,,
1001463,COLLECTIONS BAKERY &,36601 NEWARK BLVD,NEWARK,CA,94560-3053,USA,,,,,,,,,
1001464,COLLECTIONS LEYVA'S,6527 EASTERN AVE,BELL GARDENS,CA,90201-3003,USA,,,,,,,,,
1001465,MARITA SWEET POTATO,600 DUTTON AVE,SAN LEANDRO,CA,94577-2068,USA,,,,,,,,,
1001466,OLD FASHION ITALIAN,4941 W MAGNOLIA ST,PHOENIX,AZ,85043-8110,USA,,,,,,,,,
1001468,HAPPY DONUT,1062 S DE ANZA BLVD,SAN JOSE,CA,95129-3556,USA,,,,,,,,,
1001469,RAINBOW DTS - THOMAS,5045 W THOMAS RD,PHOENIX,AZ,85031-4002,USA,,,,,,,,,
1001471,QUALITY BAKERY - LIG,217 S CAVIN ST,LIGONIER,IN,46767-1915,USA,,,,,,,,,
1001472,COPPER OVEN,5421 SW 21ST ST,TOPEKA,KS,66604-3645,USA,,,,,,,,,
1001473,COLLECTIONS DEL SOL,4846 S REDWOOD RD,TAYLORSVILLE,UT,84123-4226,USA,,,,,,,,,
1001474,CHILDRESS BAKERY,1001 AVENUE F NW,CHILDRESS,TX,79201-3519,USA,,,,,,,,,
1001475,YE OLDE ENGLISH BAKE,1401 S 31ST ST,TEMPLE,TX,76504-6718,USA,,,,,,,,,
1001476,MCCRACKIN STREET SWE,920 WESLEYAN DR,MACON,GA,31210-2208,USA,,,,,,,,,
1001479,COLLECTIONS THE BAKE,5353 DIXIE HWY,FAIRFIELD,OH,45014-4198,USA,,,,,,,,,
1001480,BANKRUPTCY 7 TIA MAR,4433 PLANTATION LN,NORCROSS,GA,30093-3359,USA,,,,,,,,,
1001482,DONUT PALACE,200 E COMMERCE ST,BROWNWOOD,TX,76801-1803,USA,,,,,,,,,
1001483,APPLE ANNIE'S BAKE,837 S KERR AVE,WILMINGTON,NC,28403-8427,USA,,,,,,,,,
1001486,JUANITA'S BAKERY,816 N BRIGHTLEAF BLVD,SMITHFIELD,NC,27577-4375,USA,,,,,,,,,
1001487,COLLECTIONS NICK'S D,2826 NICHOL AVE,ANDERSON,IN,46011-3142,USA,,,,,,,,,
1001488,DARLENE'S BAKERY,1321 2ND ST,HENDERSON,KY,42420-3393,USA,,,,,,,,,
1001489,COLLECTIONS GABY'S M,535 INDIAN TRAIL LILBURN RD NW,LILBURN,GA,30047-3723,USA,,,,,,,,,
1001491,REAL DONUTS,2100 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-7133,USA,,,,,,,,,
1001492,COLLECTIONS RODRIGUE,1700 N 3RD ST,NYSSA,OR,97913-5192,USA,,,,,,,,,
1001494,THE BIG DONUT,3628 REDFERN DR,INDIANAPOLIS,IN,46237-1445,USA,,,,,,,,,
1001495,SWEET THINGS,1305 HART ST,VINCENNES,IN,47591-4631,USA,,,,,,,,,
1001496,BOLIN'S DONUT SHOP,1401 E BROADWAY,LOGANSPORT,IN,46947-3258,USA,,,,,,,,,
1001497,COLLECTIONS ALBINA'S,1022 LACEBARK CT,LAS VEGAS,NV,89123-0834,USA,,,,,,,,,
1001499,MRS FIELDS COOKIES 5,1101 WALNUT ST,KANSAS CITY,MO,64106-4200,USA,,,,,,,,,
1001501,MRS FIELDS COOKIES 5,3222 M ST NW SPC 127,WASHINGTON,DC,20007-3621,USA,,,,,,,,,
1001503,BRUEGGERS BAGEL BAKE,730 S JASON ST,DENVER,CO,80223-2832,USA,,,,,,,,,
1001504,RAYS DONUTS,3734 SAVIERS RD,OXNARD,CA,93033-6433,USA,,,,,,,,,
1001507,IL GIARDINO DEL DOLC,2859 N HARLEM AVE,CHICAGO,IL,60707-1638,USA,,,,,,,,,
1001510,COLLECTIONS SAN ANTO,12454 CENTRAL AVE,CHINO,CA,91710-2603,USA,,,,,,,,,
1001513,DETAILS & MORE,10510 BENTLEY ST,HOUSTON,TX,77093-4806,USA,,,,,,,,,
1001514,COLLECTIONS NEW JERS,792 COMMUNIPAW AVE,JERSEY CITY,NJ,07304-1708,USA,,,,,,,,,
1001516,COLLECTIONS EL REY B,2016 PACIFIC AVE,LONG BEACH,CA,90806-4610,USA,,,,,,,,,
1001517,PAT'S DONUTS & KOL,23736 HIGHWAY 59,PORTER,TX,77365-4634,USA,,,,,,,,,
1001518,CLASSIC COOKIES INC,362 BEINORIS DR,WOOD DALE,IL,60191-1223,USA,,,,,,,,,
1001521,SAINT GERMAIN BAKERY,14631 SW 104TH ST,MIAMI,FL,33186-2976,USA,,,,,,,,,
1001522,SOUTH BEND BAKERY,1709 FAIRBANK AMISH BLVD,INDEPENDENCE,IA,50644-9161,USA,,,,,,,,,
1001524,K MAY DONUTS & BAGEL,8495 W GRAND AVE,PEORIA,AZ,85345-8102,USA,,,,,,,,,
1001525,DONUT PALACE NEDERLA,1536 NEDERLAND AVE,NEDERLAND,TX,77627-4144,USA,,,,,,,,,
1001526,KALUPA'S BAKERY,2602 S MACDILL AVE,TAMPA,FL,33629-7220,USA,,,,,,,,,
1001527,COLLECTIONS DAWN DON,93 N TELEGRAPH RD,WATERFORD,MI,48328-3762,USA,,,,,,,,,
1001528,HOPE'S CHEESECAKE,210 E 20TH AVE,GULF SHORES,AL,36542-3162,USA,,,,,,,,,
1001529,CLASSIC DONUT,8409B HILLCROFT ST,HOUSTON,TX,77096-1015,USA,,,,,,,,,
1001530,CAROLINA FOODS INC,1807 S TRYON ST,CHARLOTTE,NC,28203-4471,USA,,,,,,,,,
1001531,BAMMY'S COOKIE DOUGH,1800 E LINCOLN AVE,FORT COLLINS,CO,80524-4766,USA,,,,,,,,,
1001532,LOS PINOS NUEVOS,3614 E 1ST ST,LOS ANGELES,CA,90063-2326,USA,,,,,,,,,
1001533,LISA MEDENBLIK,803 10TH ST,FULTON,IL,61252-1266,USA,,,,,,,,,
1001534,BANKRUPTCY 13 SCHMID,808 14TH ST SW,LOVELAND,CO,80537-6331,USA,,,,,,,,,
1001535,COLLECTIONS LA COLME,3174 W LINCOLN AVE,ANAHEIM,CA,92801-6085,USA,,,,,,,,,
1001536,COLLECTIONS THE BAKE,2081 TORRANCE BLVD,TORRANCE,CA,90501-2606,USA,,,,,,,,,
1001537,COLLECTIONS SUPER PA,777 N VIRGIL AVE,LOS ANGELES,CA,90029-3646,USA,,,,,,,,,
1001542,V J DONUTS,5770 FM 1960 RD E,HUMBLE,TX,77346-2730,USA,,,,,,,,,
1001543,HOUSE OF FINE CHOCOL,3109 N BROADWAY ST,CHICAGO,IL,60657-4591,USA,,,,,,,,,
1001544,GRACE DONUTS,1146 E SEMINARY DR,FORT WORTH,TX,76115-2830,USA,,,,,,,,,
1001546,SPARKLING DONUTS,15885 HIGHWAY 105 W,MONTGOMERY,TX,77356-5663,USA,,,,,,,,,
1001547,COLLECTIONS JAMAICA,565 W 27TH ST,HIALEAH,FL,33010-1321,USA,,,,,,,,,
1001549,MARTHA SUE'S COOKIES,9820 W 60TH AVE,ARVADA,CO,80004-4948,USA,,,,,,,,,
1001550,PARK DONUTS,1071 COUNTRY CLUB DR,MANSFIELD,TX,76063-2663,USA,,,,,,,,,
1001551,CARNICERIA MICHOACAN,400 E 159TH ST,HARVEY,IL,60426-5240,USA,,,,,,,,,
1001552,LA MADRILENA,7024 W GRAND AVE,CHICAGO,IL,60707-2106,USA,,,,,,,,,
1001553,ROLL N' DONUT,1315 DUNDEE AVE,ELGIN,IL,60120-2215,USA,,,,,,,,,
1001555,DONALD'S DONUT FM 52,17415 FM 529 RD,HOUSTON,TX,77095-1103,USA,,,,,,,,,
1001556,TORTILLERIA LAS DOS,6065 QUEBEC ST,COMMERCE CITY,CO,80022-4145,USA,,,,,,,,,
1001557,COLLECTIONS LA ADELI,1000 E WASHINGTON BLVD,LOS ANGELES,CA,90021-3070,USA,,,,,,,,,
1001560,FRESH DONUTS,1510 E AUSTIN ST 290,GIDDINGS,TX,78942-3512,USA,,,,,,,,,
1001561,LA DINATIA BAKERY,2717 N ARKANSAS AVE,LAREDO,TX,78043-1844,USA,,,,,,,,,
1001562,COLLECTIONS BAKE STA,6663 ORCHARD LAKE RD,WEST BLOOMFIELD,MI,48322-3404,USA,,,,,,,,,
1001563,CITY BAKERY,20 W AUGLAIZE ST,WAPAKONETA,OH,45895-1550,USA,,,,,,,,,
1001564,SWEET TOOTH CAKES &,6617 ALLEN RD,ALLEN PARK,MI,48101-2003,USA,,,,,,,,,
1001565,DOWNEY'S,4709 HIGHLAND RD,WATERFORD,MI,48328-1136,USA,,,,,,,,,
1001566,DONUT PALACE INC,2011 SOUTHFIELD RD,LINCOLN PARK,MI,48146-2249,USA,,,,,,,,,
1001567,PANADERIA CONTRERAS,3570 MORRISON RD,DENVER,CO,80219-2759,USA,,,,,,,,,
1001568,GOLD-N-CRUST,29200 RYAN RD,WARREN,MI,48092-4242,USA,,,,,,,,,
1001570,HOLLIE'S SWEETS,19373 BEECH DALY RD,REDFORD,MI,48240-1420,USA,,,,,,,,,
1001574,COLLECTIONS PARAMOUN,29790 LITTLE MACK AVE,ROSEVILLE,MI,48066-2256,USA,,,,,,,,,
1001575,GUADALAJARA #5,613 N SANBORN RD,SALINAS,CA,93905-1303,USA,,,,,,,,,
1001579,COLLECTIONS MILAN BA,1625 FREMONT ST,LAS VEGAS,NV,89101-5413,USA,,,,,,,,,
1001580,WINCHELLS DONUT,7930 SHERIDAN BLVD,ARVADA,CO,80003-6213,USA,,,,,,,,,
1001582,RANDOL DONUTS,1610 W RANDOL MILL RD,ARLINGTON,TX,76012-3119,USA,,,,,,,,,
1001584,BAGELMANIA,120 ESSEX ST,LODI,NJ,07644-2701,USA,,,,,,,,,
1001585,THE BAKERY LADY LLC,2035 HAPPY CREEK RD,SEYMOUR,TN,37865-5414,USA,,,,,,,,,
1001586,COLLECTIONS SING SIN,9600 BOLSA AVE,WESTMINSTER,CA,92683-5949,USA,,,,,,,,,
1001587,TIPTON BAKERY,405 CEDAR ST,TIPTON,IA,52772-1730,USA,,,,,,,,,
1001588,CHINATOWN CAKES,5948 PACIFIC BLVD,HUNTINGTON PARK,CA,90255-2929,USA,,,,,,,,,
1001589,SORRENTO BAKERY - PO,9721 US HIGHWAY 19,PORT RICHEY,FL,34668-7503,USA,,,,,,,,,
1001590,PIONEER DONUTS,8455 BOAT CLUB RD,FORT WORTH,TX,76179-3640,USA,,,,,,,,,
1001592,COUNTRY FRESH BAKERY,1924 S 10TH ST,BRAINERD,MN,56401-4468,USA,,,,,,,,,
1001593,COLLECTIONS VOGELSBE,105 N PARK ST,CARROLLTON,GA,30117-3028,USA,,,,,,,,,
1001597,UNIVERSITY BLVD CHUR,128 UNIVERSITY BLVD,WAYCROSS,GA,31503-6667,USA,,,,,,,,,
1001598,COWBOY KETTLE CORN L,278 N COLORADO AVE,LARAMIE,WY,82070-6153,USA,,,,,,,,,
1001599,REYNIER'S FRENCH BAK,2156 W NORTHWEST HWY,DALLAS,TX,75220-4221,USA,,,,,,,,,
1001600,DONUT PALACE - N BEA,6633 N BEACH ST,FORT WORTH,TX,76137-1802,USA,,,,,,,,,
1001602,DONUT PALACE - NACOG,5105 NORTH ST,NACOGDOCHES,TX,75965-1319,USA,,,,,,,,,
1001603,RAMONA DONUTS,3959 WILSHIRE BLVD,LOS ANGELES,CA,90010-3315,USA,,,,,,,,,
1001604,DONUT STAR,2901 CLIFF RD E,BURNSVILLE,MN,55337-3303,USA,,,,,,,,,
1001615,COLLECTIONS NENA'S B,2316 CHICAGO RD,CHICAGO HEIGHTS,IL,60411-4158,USA,,,,,,,,,
1001617,FRESH DONUTS,10007 VALLEY BLVD,EL MONTE,CA,91731-1701,USA,,,,,,,,,
1001619,THE DONUT SHOP,1104 E LINCOLN AVE,SAPULPA,OK,74066-4627,USA,,,,,,,,,
1001621,WRIGHTS DONUTS,401 S BROADWAY ST,MARLOW,OK,73055-3029,USA,,,,,,,,,
1001622,JOHNNIE'S SWEET CREA,8419 S WESTERN AVE,OKLAHOMA CITY,OK,73139-9228,USA,,,,,,,,,
1001623,COLLECTIONS FANDANGO,508 N HIGHWAY 81,DUNCAN,OK,73533-2312,USA,,,,,,,,,
1001624,MASTERPIECE CAKES BY,4407 SHADY LN,WICHITA FALLS,TX,76309-1404,USA,,,,,,,,,
1001626,REYNA BAKERY - CAMPB,3602 CAMPBELL RD,HOUSTON,TX,77080-1317,USA,,,,,,,,,
1001627,BEST DONUTS,4009 OLD DENTON RD,CARROLLTON,TX,75007-1000,USA,,,,,,,,,
1001629,BEST DONUTS,12201 RENDON RD,BURLESON,TX,76028-3086,USA,,,,,,,,,
1001630,MARY'S HOMEMADE PIES,831 B ST NW,MIAMI,OK,74354-4608,USA,,,,,,,,,
1001631,ANNIES EURO AMERICAN,150 NATIONAL PL,LONGWOOD,FL,32750-6431,USA,,,,,,,,,
1001634,DETROIT DONUT - AMOC,20705 E 13 MILE RD,ROSEVILLE,MI,48066-4580,USA,,,,,,,,,
1001635,EL AMIGO,100 E OAK ST,YANTIS,TX,75497-3192,USA,,,,,,,,,
1001636,COMMERCIAL REPAIR SP,1575 S 38TH ST,MILWAUKEE,WI,53215-1717,USA,,,,,,,,,
1001638,COLLECTIONS TRADICIO,5937 NEUSE WOOD DR,RALEIGH,NC,27616-7900,USA,,,,,,,,,
1001639,MARQUEZ BAKERY,1730 E DIVISION ST,ARLINGTON,TX,76011-6237,USA,,,,,,,,,
1001640,JERSEY BOY BAGELS,16 SOUTH ST,MORRISTOWN,NJ,07960-9515,USA,,,,,,,,,
1001641,CAROL'S DONUTS,13805 STATE ROUTE 107,MONTPELIER,OH,43543-9331,USA,,,,,,,,,
1001642,DONUT PLACE,1151 N JUPITER RD,RICHARDSON,TX,75081-3172,USA,,,,,,,,,
1001644,DREAM FLUFF DONUTS,2637 ASHBY AVE,BERKELEY,CA,94705-2229,USA,,,,,,,,,
1001645,GUANAJUATO #2,1219 W 149TH ST FRNT BUILDING,EAST CHICAGO,IN,46312-3422,USA,,,,,,,,,
1001646,COLLECTIONS DANE'S B,6494 BROADWAY,SACRAMENTO,CA,95820-2051,USA,,,,,,,,,
1001647,MRS FIELDS COOKIES 5,13816 93RD PL N,MAPLE GROVE,MN,55369-9389,USA,,,,,,,,,
1001648,DONUT PALACE,1019 W COMMERCE ST,BUFFALO,TX,75831-7709,USA,,,,,,,,,
1001649,KAUFMAN DONUTS,15 OAK CREEK DR,KAUFMAN,TX,75142-3011,USA,,,,,,,,,
1001651,COLLECTIONS KIWI BAK,8963 W 2700 S,MAGNA,UT,84044-1148,USA,,,,,,,,,
1001652,SUN DONUTS,4610 WESTERN CTR BLVD,HALTOM CITY,TX,76137-2630,USA,,,,,,,,,
1001655,THE BAKE SHOP,137 N MERIDIAN ST,BELLE PLAINE,MN,56011-1825,USA,,,,,,,,,
1001656,QUEEN'S DONUTS,1108 W SAINT MARYS RD,TUCSON,AZ,85745-2436,USA,,,,,,,,,
1001657,PIE IN A BOTTLE,2106 LANCASHIRE AVE,LOUISVILLE,KY,40205-2940,USA,,,,,,,,,
1001658,COLLECTIONS PANE D'I,2004 UTOPIA PKWY,WHITESTONE,NY,11357-4134,USA,,,,,,,,,
1001659,TAMALES IMPERIAL CO,2543 GESSNER RD,HOUSTON,TX,77080-3801,USA,,,,,,,,,
1001661,ADA VALLEY MEAT CO,6210 FULTON ST E,ADA,MI,49301-9114,USA,,,,,,,,,
1001664,SUNSHINE DONUT - FT,5650 MEADOWBROOK DR,FORT WORTH,TX,76112-4959,USA,,,,,,,,,
1001665,SNOWFLAKE DONUTS - E,1003 DELTA ST APT 24,EAST BERNARD,TX,77435-7485,USA,,,,,,,,,
1001666,DONUT EXPRESS,1353 W ROSECRANS AVE,GARDENA,CA,90247-2473,USA,,,,,,,,,
1001668,SUTTON'S BAKERY,515 N MAIN ST,CLOVIS,NM,88101-6654,USA,,,,,,,,,
1001669,RIVER CITY DONUTS,8578 RESEARCH BLVD,AUSTIN,TX,78758-7851,USA,,,,,,,,,
1001670,COLLECTIONS SAN MARC,2215 W BURBANK BLVD,BURBANK,CA,91506-1233,USA,,,,,,,,,
1001671,BREAD WORKSHOP,1250 ADDISON ST,BERKELEY,CA,94702-1782,USA,,,,,,,,,
1001672,BAKERY KOREANA,18325 COLIMA RD,ROWLAND HEIGHTS,CA,91748-2762,USA,,,,,,,,,
1001675,STORY DONUTS,3741 N STORY RD,IRVING,TX,75062-3442,USA,,,,,,,,,
1001677,BAKERS DOZEN,216 E RUSK ST,ROCKWALL,TX,75087-3723,USA,,,,,,,,,
1001679,SPUDNUTS - AMARILLO,312 S MCMASTERS ST,AMARILLO,TX,79106-6885,USA,,,,,,,,,
1001680,COLLECTIONS LA CHINA,809 N HILL ST,LOS ANGELES,CA,90012-2394,USA,,,,,,,,,
1001681,MRS FIELDS COOKIES 5,2101 SANTA ROSA PLZ,SANTA ROSA,CA,95401-6304,USA,,,,,,,,,
1001682,COLLECTIONS AUNT BUT,6903 13TH AVE,BROOKLYN,NY,11228-1601,USA,,,,,,,,,
1001683,SOUTHERN MAID DTS -,6702 DALROCK RD,ROWLETT,TX,75089-2662,USA,,,,,,,,,
1001684,RAY'S DONUTS,3654 S CAMPBELL AVE,SPRINGFIELD,MO,65807-5202,USA,,,,,,,,,
1001685,MORNING STAR FARM BA,7050 WHITLOCK RD,PARIS,TN,38242-6844,USA,,,,,,,,,
1001687,COUNTRY BAKERY & CAF,8051 SAN MIGUEL CANYON RD,PRUNEDALE,CA,93907-1244,USA,,,,,,,,,
1001688,DONUTS & MORE,15107 WILLIS RD,CALDWELL,ID,83607-7896,USA,,,,,,,,,
1001689,LEHI ROLLER MILLS,833 E MAIN ST,LEHI,UT,84043-2286,USA,,,,,,,,,
1001690,LEE'S DONUTS & CAFE,501 S FM 156,JUSTIN,TX,76247-4601,USA,,,,,,,,,
1001691,PLEASANTON BRICK OVE,10040 ALKIRE RD,BEAR LAKE,MI,49614-9206,USA,,,,,,,,,
1001692,BO BO DELIGHT,910 W MARSHALL DR,GRAND PRAIRIE,TX,75051-2835,USA,,,,,,,,,
1001693,COLLECTIONS J'S PAST,2014 N 12TH AVE,PENSACOLA,FL,32503-5303,USA,,,,,,,,,
1001694,SOUTHERN MAID - FRY,2501 N FRY RD,KATY,TX,77449-6367,USA,,,,,,,,,
1001696,KISS DONUTS,4701 N GALLOWAY AVE,MESQUITE,TX,75150-7533,USA,,,,,,,,,
1001697,MRS FIELDS COOKIES 5,2124 N FLAMINGO RD,PEMBROKE PINES,FL,33028-3501,USA,,,,,,,,,
1001699,RITA'S BAKERY,4018 43RD ST,SAN DIEGO,CA,92105-1511,USA,,,,,,,,,
1001700,ESPO'S GELATOS,2967 XENIA ST,DENVER,CO,80238-2671,USA,,,,,,,,,
1001701,MURRAY'S DONUTS,627 BULTMAN DR,SUMTER,SC,29150-2514,USA,,,,,,,,,
1001705,JP DONUTS & COFFEE,7225 BOULEVARD 26,N RICHLAND HILLS,TX,76180-8605,USA,,,,,,,,,
1001707,DONUT EXPRESS,2901 W FM 544,WYLIE,TX,75098-7052,USA,,,,,,,,,
1001708,GREAT HARVEST BREAD,128 E LANCASTER AVE,WAYNE,PA,19087-4177,USA,,,,,,,,,
1001710,SOUTHERN MAID DONUTS,8325 BROADWAY ST,PEARLAND,TX,77581-5773,USA,,,,,,,,,
1001713,COLLECTIONS GREAT HA,1225 S HURSTBOURNE PKWY,LOUISVILLE,KY,40222-5705,USA,,,,,,,,,
1001714,CD - TABCO PRODUCTS,940 W 100 S,SALT LAKE CITY,UT,84104-1108,USA,,,,,,,,,
1001715,COLLECTIONS TEENA'S,1568 RALPH AVE,BROOKLYN,NY,11236-3129,USA,,,,,,,,,
1001718,BUTLER CENTER BAKESH,22372 245TH ST,ALLISON,IA,50602-9566,USA,,,,,,,,,
1001720,LA CRIOLLA INC,880 IND TRL LIL RD NW,LILBURN,GA,30047-6844,USA,,,,,,,,,
1001721,CHARLOTTE DOMINY,620 LAUREL BRANCH CHURCH RD,MC INTYRE,GA,31054-2447,USA,,,,,,,,,
1001722,LAMAR'S DONUTS #38,2519 S SHIELDS ST  138,FORT COLLINS,CO,80526-1855,USA,,,,,,,,,
1001723,MALEK'S BRIGHTON BAK,1795 MONROE AVE,ROCHESTER,NY,14618-1841,USA,,,,,,,,,
1001724,DOUGHNUT PLANT,379 GRAND ST,NEW YORK,NY,10002-3951,USA,,,,,,,,,
1001726,PANADERIA GUATEMALTE,2204 SHORTER AVE NW,ROME,GA,30165-2036,USA,,,,,,,,,
1001727,COLLECTIONS PUMPERNI,2059 CLINTON ST,BUFFALO,NY,14206-3313,USA,,,,,,,,,
1001728,SARAI BAKERY,2326 E THOUSAND OAKS BLVD,THOUSAND OAKS,CA,91362-3206,USA,,,,,,,,,
1001729,ORIGINAL JUAN SPECIA,111 SOUTHWEST BLVD,KANSAS CITY,KS,66103-2132,USA,,,,,,,,,
1001730,KIMCO EQUIPMENT,2204 HINTON DR  101,IRVING,TX,75061-5631,USA,,,,,,,,,
1001731,STOP IN DONUTS,16851 VICTORY BLVD,VAN NUYS,CA,91406-5560,USA,,,,,,,,,
1001732,COLLECTIONS LA BOULA,8109 FRUITRIDGE RD,SACRAMENTO,CA,95820-6750,USA,,,,,,,,,
1001733,MANNA DONUTS & DELI,4150 ELDORADO PKWY,MCKINNEY,TX,75070-4531,USA,,,,,,,,,
1001734,BEST DONUTS & KOLACH,7895 W TIDWELL RD,HOUSTON,TX,77040-5865,USA,,,,,,,,,
1001735,DONUT PALACE - WESTE,3300 WESTERN CENTER BLVD,FORT WORTH,TX,76137-3104,USA,,,,,,,,,
1001736,COLLECTIONS MERRY'S,110 BREEZY VIEW LN,STROUDSBURG,PA,18360-7564,USA,,,,,,,,,
1001737,PALM SPRINGS BAKERY,8125 W 8TH AVE,HIALEAH,FL,33014-3529,USA,,,,,,,,,
1001738,LA ROSITA BAKERY,4450 S KEDZIE AVE,CHICAGO,IL,60632-2815,USA,,,,,,,,,
1001739,IL FORNAIO ACCADEMIA,1415 N CAROLAN AVE,BURLINGAME,CA,94010-2403,USA,,,,,,,,,
1001740,COLLECTIONS TETY'S B,6676 LONG BEACH BLVD,LONG BEACH,CA,90805-2056,USA,,,,,,,,,
1001742,EAGLE DONUTS 2,967 WINSCOTT RD,BENBROOK,TX,76126-2722,USA,,,,,,,,,
1001744,CITY DONUTS - WEST R,10100 WEST RD,HOUSTON,TX,77064-6305,USA,,,,,,,,,
1001745,MRS FIELDS COOKIES 5,3111 W CHANDLER BLVD,CHANDLER,AZ,85226-5084,USA,,,,,,,,,
