CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000525,AMBER'S BAKERY,1221 CARNATION DR,SUNNYSIDE,WA,98944-2003,USA,,,,,,,,,
1000526,VALERIO'S TROPICAL B,18230 E VALLEY HWY,KENT,WA,98032-1231,USA,,,,,,,,,
1000527,BOULANGERIE BAKERY,2200 N 45TH ST,SEATTLE,WA,98103-6904,USA,,,,,,,,,
1000528,COLLECTIONS FRESH &,19983 STATE ROUTE 2,MONROE,WA,98272-2338,USA,,,,,,,,,
1000530,TYLER'S DONUT HOUSE,11108 EVERGREEN WAY,EVERETT,WA,98204-3886,USA,,,,,,,,,
1000531,PARISIAN STAR DESSER,5601 1ST AVE S,SEATTLE,WA,98108-2404,USA,,,,,,,,,
1000532,PARISIAN STAR DESSER,1001 S MYRTLE ST,SEATTLE,WA,98108-3527,USA,,,,,,,,,
1000534,METROPOLITAN MARKET,4025 DELRIDGE WAY SW,SEATTLE,WA,98106-1273,USA,,,,,,,,,
1000535,LA ESPIGA DORADA,18350 SW TUALATIN VALLEY HWY,ALOHA,OR,97006-3956,USA,,,,,,,,,
1000536,CALICO CUPBOARD OF A,121 FREEWAY DR,MOUNT VERNON,WA,98273-2816,USA,,,,,,,,,
1000537,MOSCOW NIGHTS,13507 SE DIVISION ST,PORTLAND,OR,97236-3048,USA,,,,,,,,,
1000538,HELEN'S DONUTS & ICE,5601 E PORTLAND AVE,TACOMA,WA,98404-2549,USA,,,,,,,,,
1000539,RIVERBOAT DISCOVERY,1975 DISCOVERY DR,FAIRBANKS,AK,99709-4577,USA,,,,,,,,,
1000541,KALEENKA PIROSHKY,26801 NE BIG ROCK RD,DUVALL,WA,98019-8217,USA,,,,,,,,,
1000542,MY NEWT MINI DONUTS,2402 5TH ST SW,PUYALLUP,WA,98373-2765,USA,,,,,,,,,
1000543,SAN FRANCISCO INC,8750 SW CITIZENS DR,WILSONVILLE,OR,97070-6404,USA,,,,,,,,,
1000544,KING'S ORIENTAL FOOD,1238 S WELLER ST,SEATTLE,WA,98144-2049,USA,,,,,,,,,
1000546,COLLECTIONS TORTILLE,1022 72ND ST E,TACOMA,WA,98404-1732,USA,,,,,,,,,
1000547,COLLECTIONS SEATTLE,9828 16TH AVE SW,SEATTLE,WA,98106-2829,USA,,,,,,,,,
1000548,SELMA'S BAKERY & DEL,184 NE 2ND ST,GRESHAM,OR,97030-7504,USA,,,,,,,,,
1000549,TAMMY'S BAKERY,7101 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3591,USA,,,,,,,,,
1000550,KOLOS EURO FOODS,212 NE 164TH AVE,VANCOUVER,WA,98684-2909,USA,,,,,,,,,
1000551,BILL'S XL BAKERY,2324 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA,,,,,,,,,
1000552,VICKIE'S SWEET HOME,6900 CAROLINA LN,VANCOUVER,WA,98664-1557,USA,,,,,,,,,
1000554,BREAD GARDEN LTD,1001 S 344TH ST,FEDERAL WAY,WA,98003-6795,USA,,,,,,,,,
1000555,PEPE'S BAKERY,636 DECATUR AVE,SUNNYSIDE,WA,98944-1541,USA,,,,,,,,,
